mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,zcr_mean,tempo,rms_mean,filename,genre
-94.53429,55.664608,29.260527,27.047909,20.063942,1.1709083,12.953799,-0.7993096,8.872952,-0.67619544,-5.338357,2.2207074,-4.614716,64.589195,24.894876,18.041988,17.127926,11.851547,14.991183,11.671796,12.727351,10.935026,11.213364,9.844407,8.603485,8.45055,0.3836425,0.32702118,0.38932645,0.32534835,0.46218356,0.48061365,0.33993873,0.4794029,0.40095925,0.41170657,0.3384627,0.33796883,3422.09468148469,1039.6893659171515,7953.293574188516,3409.811125578918,0.12676680715460525,89.10290948275862,0.18582647,pop.00000.wav,pop
-59.200977,45.285435,36.85824,15.686738,15.64339,1.674394,7.294538,8.814742,5.826009,7.992021,-2.28285,1.8962289,-0.9197742,73.69122,37.95976,29.932299,22.245293,18.286188,18.143082,14.823107,13.684897,13.744675,12.162304,10.647727,10.407205,10.783091,0.4466741,0.36241257,0.36243492,0.418305,0.40107018,0.51216465,0.4129632,0.511726,0.45965302,0.3564297,0.36796042,0.34130824,3702.928030369771,1184.989973000642,8073.092849778686,3431.802175141902,0.14947642039957432,107.666015625,0.26218614,pop.00001.wav,pop
-59.607124,62.98234,31.12206,16.92889,8.904489,10.815333,10.561759,5.165959,5.4082975,6.159945,2.2780192,4.254538,4.1256804,53.949738,24.429201,13.461636,12.489437,10.174481,10.595752,9.109979,7.474097,7.4210835,8.087242,7.969396,7.9551687,8.325391,0.4760593,0.43355793,0.4828786,0.34032804,0.28774118,0.29964435,0.327701,0.41178638,0.42174026,0.5603922,0.5468287,0.4260246,3213.5168358111127,1003.4363437078443,7423.94677507619,3269.5960671771636,0.11886851780185759,83.35433467741936,0.215166,pop.00002.wav,pop
-125.906784,126.61828,-23.186909,36.22425,20.962921,-1.1735234,16.486767,-3.6612227,6.520491,9.33727,-6.409656,3.880195,-7.941657,52.409386,35.06127,22.519087,19.202364,11.929419,13.4964075,10.220704,9.474612,9.602686,8.904088,8.387747,7.7451186,7.616782,0.3732715,0.33895332,0.56441265,0.36774382,0.2708523,0.3221128,0.38632613,0.71027845,0.44131055,0.40259284,0.32896793,0.41381127,1837.191501891123,887.6745857172928,3671.0694682118324,2067.0125708404385,0.08535171367066563,92.28515625,0.12935476,pop.00003.wav,pop
-20.901945,83.24167,5.04696,16.370789,9.402538,-0.56291837,4.051513,6.209602,9.122195,5.865447,-3.5055268,-0.63873327,-3.1722696,35.735855,22.31462,19.500038,13.128125,10.190035,11.506552,8.79837,6.9752254,7.145418,7.065821,6.006431,6.209942,5.8754816,0.38020143,0.35776284,0.4269389,0.33343285,0.39582112,0.326956,0.34946778,0.39361152,0.422532,0.47617766,0.3587159,0.3910453,2753.2217697518786,847.5640128840067,5986.188802335285,2861.4105412456793,0.12376304602844428,107.666015625,0.21116544,pop.00004.wav,pop
-113.6181,90.014565,-5.5413437,25.595474,2.6011498,3.1922522,1.1311812,6.1437187,2.7893798,-1.8761603,-7.119991,-3.441792,-5.9110045,141.11212,21.335236,28.84684,14.019283,10.068849,12.175942,9.77011,11.334134,10.237753,11.184412,9.457596,9.077447,7.838726,0.26243496,0.43391296,0.26566058,0.27792877,0.21259412,0.21987662,0.5157661,0.3198718,0.30876112,0.24062029,0.38169807,0.43995345,2290.0859207010612,741.8064838929325,4748.004622798955,2435.918388296352,0.10678053345104489,172.265625,0.13953836,pop.00005.wav,pop
-169.15085,94.640785,24.504723,27.41387,11.641731,14.895841,4.234472,12.369024,10.702795,5.126413,-0.34236664,1.2547648,-4.1575894,70.08314,24.043037,18.800877,13.444352,7.868944,10.245578,7.955986,6.538521,6.0761685,6.7002587,7.5193024,6.713003,6.893471,0.55328333,0.38026166,0.32303694,0.2579366,0.27856058,0.35243338,0.39248505,0.6128876,0.37962502,0.27583185,0.2602206,0.42891574,2125.4079876587084,851.6687155538492,4979.028225830834,2673.9246329139587,0.06769535785119969,92.28515625,0.09395813,pop.00006.wav,pop
-224.45636,107.30909,-1.5683284,13.870831,8.123952,-9.378748,8.120475,9.294033,9.099869,6.025224,-6.6545024,2.0728164,6.2020764,60.656532,44.833965,26.291225,25.905403,13.485314,14.625293,11.979373,11.525249,10.709238,13.358141,13.346191,14.1580515,15.475924,0.18293408,0.28318882,0.4473831,0.22104876,0.1270437,0.13056235,0.17583087,0.20237668,0.21224447,0.49770877,0.33318636,0.20555535,1968.4064522146039,941.887881674113,4127.166710254209,2326.80098776959,0.08234492913119196,129.19921875,0.08428382,pop.00007.wav,pop
-52.448246,74.02206,12.697417,24.500343,21.107903,1.904928,6.796557,4.7199593,8.40647,8.246996,-2.2676542,-1.2025365,-2.6778097,47.09937,24.540913,25.259945,12.675662,10.911175,12.077206,9.226965,7.734011,8.271236,7.4920316,7.757854,6.920859,6.3325763,0.36880895,0.38473943,0.411454,0.6040491,0.45596877,0.40121314,0.33877373,0.34288356,0.52893144,0.37154073,0.33749622,0.29987517,2885.3303652171926,987.4226000600132,6430.294450222524,3009.780057474386,0.1213038772252322,172.265625,0.19541194,pop.00008.wav,pop
-35.297348,61.247242,14.059667,28.661287,4.3299875,-1.3499215,-0.790413,5.1225405,5.3524,1.2215204,-7.2570734,-0.516818,0.21715884,53.148266,18.740152,20.820879,16.019121,12.560509,11.950361,8.502557,7.7779202,7.6810417,7.9777994,8.479482,6.508702,6.8823514,0.4117891,0.54156685,0.41312355,0.43782595,0.42479894,0.37720817,0.5239889,0.40988836,0.43205705,0.4674074,0.5132973,0.5050753,3279.967331808209,724.4008544388793,6953.21628818571,3026.3931113810377,0.17281943873355263,107.666015625,0.15964586,pop.00009.wav,pop
